CharityID	RegistrationNumber	CategoryCode	IRSCode	EIN	Purpose	Name	InCareOF	Address1	Address2	City	State	Zip	Phone	PeriodBeginning	PeriodEnding	TotalRevenue	ProgramServiceExpense	ManagementExpense	FundRaisingExpense	TotalAssets
69	1127	59	501(c)(3)	936031259	For charitable, educational, religious, scientific or literary purposes.	Pamplin Foundation		PO Box 548		Lake Oswego	OR	970340248	5032481133	01/01/2023	12/31/2023	772642.0000	0.0000	0.0000	0.0000	52974294.0000
70	1129	320	501(c)(3)	930480213	Educational and recreational agency for girls.	Camp Fire Wilani	c/o Elissa Kobrin	92227 Applegate Tr		Junction City	OR	97448	5413426338	09/01/2024	08/31/2025	144192.0000	133901.0000	2338.0000	0.0000	0.0000
71	1130	560	501(c)(3)	351019477	To provide livestock to needy persons & other related services toward helping people feed themselves; primarily international aid.	Heifer Project International		1 World Avenue		Little Rock	AR	72202	5019072600	07/01/2024	06/30/2025	0	130448947.0000	9731719.0000	38721817.0000	0
75	1138	602	501(c)(3)	936018533	Net income for the use and benefit of the 75% to The Meyer Fund (CCI) and 25% to Heritage Scholarships (CCI)	Henry W. and Ellen E. Meyers Memorial Endowment Fund	Pioneer Trust Bank	PO Box 2305		Salem	OR	97308	5034801897	01/01/2025	12/31/2025	47255.0000	0.0000	0.0000	0.0000	407830.0000
76	1139	602	501(c)(3)	936018725	ANNUAL DISTRIBUTION: to Noble Health Systems in Westfield, MA	Millie Bush Crary Brown Memorial Fund	Pioneer Trust Bank, N.A.	PO Box 2305		Salem	OR	97308	5034801897	01/01/2025	12/31/2025	42666.0000	0.0000	0.0000	0.0000	370507.0000
77	1144	160	501(c)(3)	930386875	To maintain a community center in the SW part of the City of Portland for the purpose of offering social, educational, cultural, recreational, athletic and other opportunities to people in the vicinity.	Neighborhood House, Inc.		8959 SW Barbur Blvd		Portland	OR	97219	5032461663	07/01/2023	06/30/2024	11393818.0000	8144359.0000	1556468.0000	621915.0000	9208747.0000
78	1149	40	501(c)(3)	936020787	Scholarships	May Barnum Scholarship Fund		PO Box 64193		Saint Paul	MN	55164	8882657962	01/01/2025	12/31/2025	117460.0000	0.0000	0.0000	0.0000	2183983.0000
79	1150	560	501(c)(3)	936019516	To provide funds for books, clothing, and other collateral expense (not including tuition) for needy children of grade school and high school age.	Robert Brady Trust		PO Box 0634		Milwaukee	WI	532010634	5034643580	07/01/2024	06/30/2025	126483.0000	0.0000	0.0000	0.0000	1063909.0000
80	1152	40	501(c)(3)	936019421	Scholarships	Ida Crawford Student Loan Fund		PO Box 64193		Saint Paul	MN	55164	8882657962	01/01/2025	12/31/2025	78147.0000	0.0000	0.0000	0.0000	776035.0000
81	1153	59	501(c)(3)	936021038	To provide student loans for students attending colleges in the State of Oregon, particularly Linfield College.	W.C. Campbell Scholarship Fund	US Bank, Trust Department	PO Box 0634		Milwaukee	WI	532010634	5034643580	07/01/2024	06/30/2025	35889.0000	0.0000	0.0000	0.0000	266389.0000
82	1154	40	501(c)(3)	936020612	To provide scholarships to graduates of Grants Pass Public High School.	Raymond Criswell Scholarship Fund	US Bank, Trust Department	PO Box 0634		Milwaukee	WI	532010634	5034643580	07/01/2024	06/30/2025	26390.0000	0.0000	0.0000	0.0000	173615.0000
83	1157	179	501(c)(3)	936024205	For any worthy member of the public, resident of State of Oregon & selected by a committee including but not confined to any worthy Mason or Masons, needing any type of care relating to the human body who is unable to pay all or part of the cost of such service.	Elizabeth Church Clarke Trust No. 2	c/o D A Davidson Trust Co.	3210 Hillcrest Park Dr, Ste 200		Medford	OR	97504	5416084389	01/01/2025	12/31/2025	162234.0000	0.0000	0.0000	0.0000	1624488.0000
84	1159	179	501(c)(3)	936020655	Net income to Good Samaritan Hospital of Portland, Oregon for establishment & maintenance of rooms for worthy members of regular Masonic Lodges residing in Portland, Oregon.	Louis G. & Elizabeth L. Clarke Endowment Fund		PO Box 64193		Saint Paul	MN	55164	8882657962	01/01/2025	12/31/2025	213262.0000	0.0000	0.0000	0.0000	1363663.0000
88	1165	179	501(c)(3)	936020589	Net income to Holladay Park Hospital to be devoted to relief, through its facilities, of worthy poor requiring medical or surgical treatment, nursing or hospitalization.	Sanford & Louise Hirsch Endowment Fund	US Bank, Trust Department	PO Box 0634		Milwaukee	WI	532010634	5034643580	07/01/2024	06/30/2025	83637.0000	0.0000	0.0000	0.0000	780207.0000
89	1166	602	501(c)(3)	936020752	Net income for use within the State of Oregon for charitable, educational or eleemosynary purposes and for the advancement of public welfare.	Jackson Foundation	Trust Department, US Bank	PO BOX 0634		Milwaukee	WI	532010634	5034643580	07/01/2024	06/30/2025	1020055.0000	0.0000	0.0000	0.0000	12175808.0000
90	1169	40	501(c)(3)	936020672	To make student loans and scholarships to young men and women desiring to educate themselves.	Jenkins Student Loan Fund	US Bank, Trust Department	PO Box 0634		Milwaukee	WI	532010634	5034643580	07/01/2024	06/30/2025	89669.0000	0.0000	0.0000	0.0000	820539.0000
91	1173	561	501(c)(3)	936019602	Net income to be used for the care and maintenance of indigent aged people who are residents or former resident of the State of Oregon in suitable homes or institutions in the State of Oregon.	Sophia Byers McComas Foundation	Trust Department, US Bank	PO BOX 0634		Milwaukee	WI	532010634	5034643580	07/01/2024	06/30/2025	153418.0000	0.0000	0.0000	0.0000	1581072.0000
92	1174	602	501(c)(3)	936017100	For civic, educational or charitable uses for the betterment of the City of Pendleton and the inhabitants thereof.	Pendleton Foundation Trust		PO Box 1950		Pendleton	OR	97801	5412080300	01/01/2025	12/31/2025	941394.0000	227487.0000	137853.0000	17383.0000	8891667.0000
93	1179	602	501(c)(3)	936020203	Net income to be used for medical research projects at and under the direction of the faculty of the University of Oregon Medical School.	Laurence Selling Fund	US Bank, Trust Department	PO Box 0634		Milwaukee	WI	532010634	5034643580	07/01/2024	06/30/2025	182250.0000	0.0000	0.0000	0.0000	1552294.0000
95	1182	123	501(c)(3)	936019493	Income to be used to conduct lectures for the advancement of medical science.	Ernst A. Sommer Trust	US Bank of Oregon, Trust Department	PO Box 0634		Milwaukee	WI	532010634	5036463580	07/01/2024	06/30/2025	212554.0000	0.0000	0.0000	0.0000	1592457.0000
96	1184	40	501(c)(3)	936020885	To provide scholarship grants for the education & maintenance of worthy children who are American citizens by birth & residents of the State of Oregon as selected by the trustee for use at a trade school, college or university.	Steinbach Foundation	US Bank, Trust Department	PO Box 0634		Milwaukee	WI	532010634	5034643580	07/01/2024	06/30/2025	70966.0000	0.0000	0.0000	0.0000	1014869.0000
98	1191	59	501(c)(3)	930432836	For religious, charitable, scientific, literary, or educational purposes.	William S. Walton Charitable Trust		PO Box 0634		Milwaukee	WI	532010634	5034643580	06/01/2024	05/31/2025	31495.0000	0.0000	0.0000	0.0000	338367.0000
99	1193	40	501(c)(3)	936022322	To provide scholarship grants to Benton County High School graduates attending Oregon State University.	E. E. Wilson Scholarship Fund	US Bank, Trust Department	PO Box 0364		Milwaukee	WI	532010634	5034643580	07/01/2024	06/30/2025	83169.0000	0.0000	0.0000	0.0000	730543.0000
100	1194	40	501(c)(3)	936020316	To provide scholarships and student loans to children of Oregon War veterans.	Maria C. Jackson - General George A. White Student Aid Fund	Trust Department, US Bank	PO BOX 0634		Milwaukee	WI	532010634	5034643580	07/01/2024	06/30/2025	60842.0000	0.0000	0.0000	0.0000	494293.0000
104	1208	602	501(c)(3)	936021298	For religious, charitable, scientific or educational purposes.	R.M. Wade Foundation		10025 SW Allen Blvd.		Beaverton	OR	97004	5036411872	09/01/2024	08/31/2025	4865.0000	0.0000	0.0000	0.0000	59214.0000
107	1211	602	501(c)(3)	936021362	Net income to be paid in equal shares annually to eight designated charitable organizations.	Henry Failing Fund	Wells Fargo Bank, N.A., Trust Tax Dept.	PO Box 505 MAC H0006-092		Saint Louis	MO	63166	8887304933	01/01/2025	12/31/2025	550101.0000	0.0000	0.0000	0.0000	2469642.0000
108	1212	382	501(c)(3)	936023450	For payment on behalf of residents or applicants for residency in Rose Villa of applications, extra space, occupancy, medical or other service fees if such residents or applicants for residency are unable to pay such expenses because of financial need.	Rose Villa Foundation		13505 SE River Rd		Portland	OR	97222	5036543171	01/01/2024	12/31/2024	745459.0000	553012.0000	120042.0000	28161.0000	7746825.0000
110	1219	602	501(c)(3)	936017089	United Way of Columbia Willamette	Ion Lewis Trust fbo United Good Neighbors	Wells Fargo Bank, N.A., Trust Tax Dept.	PO Box 505 MAC H0006-092		Saint Louis	MO	63166	8887304933	01/01/2025	12/31/2025	5314.0000	0.0000	0.0000	0.0000	96823.0000
113	1222	602	501(c)(0)	936017562	For the benefit of the Portland Art Museum of Portland, Oregon.	W.H. Nunn Trust	Wells Fargo Bank, Trust Tax Dept.	PO Box 505 MAC H0006-092		Saint Louis	MO	63166	8887304933	01/01/2025	12/31/2025	31596.0000	0.0000	0.0000	0.0000	575569.0000
116	1225	602	501(c)(3)	930505586	For religious, charitable or educational purposes.	Herbert A. Templeton Foundation, The		650 S Gaines St. #1102		Portland	OR	97239	5032230036	01/01/2024	12/31/2024	1384974.0000	0.0000	0.0000	0.0000	17939435.0000
117	1226	199	501(c)(3)	936021540	To provide funds for charitable purposes mainly in the fields of science, education and research.	Tektronix Foundation	Ashley Pearson	PO Box 500; M/S 50-LAW		Beaverton	OR	97077	5036272190	01/01/2024	12/31/2024	493250.0000	0.0000	0.0000	0.0000	42036.0000
122	1239	560	501(c)(3)	930397825	Provides an array of services including early childhood education, parenting education, youth development, economic empowerment (financial education), senior services, and hunger relief.	Metropolitan Family Service, Inc.	Ada Dortch	1700 NW Civic Dr	Ste 200	Gresham	OR	97030	5032320007	07/01/2023	06/30/2024	12003273.0000	10374908.0000	2358562.0000	418943.0000	5416809.0000
123	1240	560	501(c)(3)	936018358	Income to the Ashland Lodge No.944 B.P.O.E., for use by them in providing food, clothing & medical care for under privileged children of Ashland & vicinity with excess, if any, for alleviating the suffering of mankind or in welfare work for young people in Jackson County, Oregon.	Gwin S. Butler Memorial Fund	Wells Fargo Bank, N.A., Trust Tax Dept.	PO Box 505 MAC H0006-092		Saint Louis	MO	63166	8887304933	01/01/2025	12/31/2025	38393.0000	0.0000	0.0000	0.0000	728214.0000
124	1241	59	501(c)(3)	936021333	For religious, charitable, educational or scientific purpose - general.	Autzen Foundation		2455 NW Marshall St, Ste #9		Portland	OR	97210	5032266051	01/01/2024	12/31/2024	19090734.0000	0.0000	0.0000	0.0000	24919861.0000
125	1243	161	501(c)(3)	131846366	For work in all phases of infantile paralysis & for investigation & research in any way relating to medicine & health including the cause, prevention & treatment of any disease.	March of Dimes Inc.	c/o Kathryn Pickett, Labyrinth Inc	812 N Prince St		Lancaster	PA	17603	8886634637	01/01/2024	12/31/2024	0.0000	63754939.0000	12723742.0000	10188411.0000	0.0000
126	1245	602	501(c)(3)	936026550	For religious, charitable, scientific, or educational purposes.	Woodard Family Foundation, The		PO Box 10666		Eugene	OR	97440	5413439402	07/01/2024	06/30/2025	706567.0000	0.0000	0.0000	0.0000	11501577.0000
128	1248	150	501(c)(3)	936019304	Net income to the S. Charles Hospital, Bend, Oregon or its successor for operating & maintenance expenses, capital improvements, & charitable hospitalization.	Floyd Dement Hospital Fund	US Bank	PO Box 64193		Saint Paul	MN	55164	8882657962	01/01/2025	12/31/2025	85991.0000	0.0000	0.0000	0.0000	670258.0000
130	1252	59	501(c)(3)	936019291	To promote & carry on the instructions & education of boys and girls and young people of the State of Oregon in Social Hygiene & Sex Education.	E.C. Brown Charitable Trust	US Bank	PO Box 0634		Milwaukee	WI	532010634	8002276468	01/01/2024	12/31/2024	767501.0000	0.0000	0.0000	0.0000	2549481.0000
131	1257	561	501(c)(3)	936026691	To grant scholarships & make loans to young men & women who are graduates of Jefferson County High School to assist them in pursuing their education in institutions of higher learning.	Jefferson Scholarship Foundation, The	US Bank Trust Department	PO Box 0634		Milwaukee	WI	532010634	5034643580	01/01/2024	12/31/2024	638571.0000	0.0000	0.0000	0.0000	2650407.0000
135	1269	119	501(c)(3)	930511171	To establish and maintain a formal Japanese garden in the City of Portland for educational, scientific, cultural, literary & charitable purposes.	Japanese Garden Society of Oregon		611 SW Kingston Ave		Portland	OR	97205	5037963695	01/01/2024	12/31/2024	13121084.0000	10706647.0000	2182370.0000	1022307.0000	39926646.0000
136	1273	927	501(c)(3)	237052840	To provide proper and necessary recreational, educational & entertainment facilities for the recreation, education, entertainment, etc. of the public.	Junior League of Jackson County		PO Box 1504		Medford	OR	97501	7013201871	07/01/2024	06/30/2025	140000.0000	0.0000	0.0000	0.0000	54721.0000
137	1276	602	501(c)(0)	936018247	Income to be distributed for designated charitable and noncharitable uses & purposes. Charitable portion includes $50.00 per month payments to Bible Institute of L.A., First Conservative Church of Eugene & Eugene Corps Salvation Army.	George M. Plummer Trust	Wells Fargo Bank, NA	PO Box 505 MAC H0006-092		Saint Louis	MO	63166	8887304933	01/01/2025	12/31/2025	20314.0000	0.0000	0.0000	0.0000	362800.0000
138	1277	602	501(c)(0)	936018264	Pay such portion of net income annually to Oregon State Board of Higher Education for selected 4th year tuition scholarship thru Maurice Harold Hunter Leadership Scholarship Fund at UofO. Pay from balance of net income when sufficient accumulated to Board of Regents of Univ. of Nebraska for annual Schreiber-Hunter Leadership Scholarship.	Frederick M. & Emma S. Hunter Trust-#375880	Wells Fargo Bank N.A, Trust Tax Dept.	PO Box 505  MAC  H0006-092		Saint Louis	MO	63166	8887304933	10/01/2024	09/30/2025	10869.0000	0.0000	0.0000	0.0000	55764.0000
139	1279	602	501(c)(3)	936027213	For charitable, religious and educational purposes.	Freres Foundation	Freres Lumber Company	PO Box 276		Lyons	OR	97358	5038592121	01/01/2024	12/31/2024	195436.0000	0.0000	0.0000	0.0000	3913344.0000
141	1282	600	501(c)(3)	930386825	For charitable, scientific or educational purposes & to study, plan & coordinate the performance of organizations devoted to Jewish charitable, scientific or educational purposes in the State of Oregon.	Jewish Federation of Greater Portland		9900 SW Greenburg Rd, Ste 220		Portland	OR	97223	5032456219	07/01/2024	06/30/2025	4733413.0000	3897473.0000	428055.0000	359422.0000	9714296.0000
144	1286	59	501(c)(3)	936024129	To provide fellowships for Oregon applicants with BA or BS degrees for study at George Washington University.	Oregon Scottish Rite Education Foundation, Inc., The		709 SW 15th Ave		Portland	OR	97205	5032267827	01/01/2025	12/31/2025	230555.0000	0.0000	0.0000	0.0000	3354164.0000
145	1287	602	501(c)(3)	237154746	To provide relief for worthy maser masons, their widows and orphans in The State of Oregon.	Portland Valley Acacia Fund, Inc.		709 SW 15th Avenue		Portland	OR	97205	5032267827	01/01/2024	12/31/2024	20952.0000	0.0000	0.0000	0.0000	517037.0000
146	1288	161	501(c)(3)	131665552	To foster and promote the care and alleviation of the condition of persons suffering from the disease known as muscular dystrophy or from any similar or allied diseases, to promote research into the causes & cure of such diseases & the development of remedies thereof.	Muscular Dystrophy Association, Inc.		1021 W Adams St, 2nd Flr, Ste 1073		Chicago	IL	60607	8005721717	01/01/2025	12/31/2025	0	43809908.0000	3179216.0000	14758982.0000	0
147	1290	161	501(c)(3)	936021895	For research in the cause, care and treatment of human diseases or any field of medical research and for medical education.	Collins Medical Trust		730 - 2nd Ave S, Ste 1400		Minneapolis	MN	55402	5032271219	10/01/2024	09/30/2025	573234.0000	0.0000	0.0000	0.0000	14628959.0000
149	1292	602	501(c)(3)	931001600	For the benefit of benevolent organizations of South Benton County.	Monroe Area Foundation		PO Box 3		Monroe	OR	97456	5038475414	01/01/2024	12/31/2024	13.0000	0.0000	0.0000	0.0000	22968.0000
150	1296	913	501(c)(3)	930386880	To foster an environment of respect, responsibility, and compassion for all animals through education, legislation, and leadership. To care for the homeless, to defend the abused, and to fight with unrelenting diligence for recognition of the integrity of all animals.	Oregon Humane Society, The		1067 NE Columbia Blvd.		Portland	OR	97211	5032857722	01/01/2025	12/31/2025	37463888.0000	32705926.0000	3800456.0000	4151818.0000	107212115.0000
154	1308	325	501(c)(3)	936010464	Acquisition & maintenance of a camp in Oregon for the use and benefit of diabetic children.	Gales Creek Camp Foundation for Children with Diabetes		6950 SW Hampton St., Ste 242		Tigard	OR	97223	5039682267	01/01/2025	12/31/2025	821093.0000	609967.0000	95986.0000	40324.0000	3563303.0000
156	1314	205	501(c)(3)	202738888	To conduct and fund charitable and educational activities to further the study of law, elevate the public's understanding of the legal system, increase access to justice, and improve and enhance courtroom function to further the public interest.	Multnomah Bar Foundation		620 SW Fifth Ave, Ste 1220		Portland	OR	97204	5032223275	01/01/2024	12/31/2024	203188.0000	166817.0000	3159.0000	6429.0000	622112.0000
157	1315	602	501(c)(3)	930523395	For charitable, religious and educational purposes.	A.J. Frank Family Foundation		PO Box 79		Mill City	OR	97360	5038972371	10/01/2024	09/30/2025	375041.0000	0.0000	0.0000	0.0000	9762896.0000
