DATE CHECKED,ORG NAME,EIN,STATUS,EXPIRATION DATE,SOURCE,NOTES
7/20/2026,421 Fs Snacko,33-4956394,Current,4/30/2027,,
7/20/2026,435 Elite Sports Inc,83-2661757,Closed,11/30/2025,,
7/20/2026,528 Inc,45-2786949,Closed,3/31/2023,,
7/20/2026,661 Foundation,87-4046998,Closed,12/31/2025,,
7/20/2026,801 Labs,46-4280893,Upcoming Filing,12/31/2026,,
7/20/2026,808 Ministries,47-1662406,Not Registered,,,
7/20/2026,911 Community Bowl,87-3066722,Upcoming Filing,9/30/2026,,
7/20/2026,1520 Arts,45-4214752,Current,1/31/2027,,
7/20/2026,1880 Ranch,92-0858123,Closed,10/31/2025,,
7/20/2026,1999 Collective,99-2141522,Current,3/31/2027,,
7/20/2026,2034 Organizing Committee,99-3345211,Current,3/27/2028,,
7/20/2026,4477 Th Red Eagle Alumni Association Reaa,45-3951812,Not Registered,,,
7/20/2026,5280 Challenge,81-4755037,Not Registered,,,
7/20/2026,A 1 Charity Classic,93-2341694,Not Registered,,,
7/20/2026,A Act Of Love Alternative Options & Services For Todays Children,87-0510348,Current,3/31/2029,,
7/20/2026,A And L Leonard Foundation,88-4186859,Closed,10/31/2023,,
7/20/2026,A Better Day Foundation,46-3724193,Upcoming Filing,12/31/2026,,
7/20/2026,A Brightness Of Hope Inc,20-8741491,Current,4/30/2027,,
7/20/2026,A Buddy Just Like Me Inc,87-2131353,Upcoming Filing,7/31/2026,,
7/20/2026,A C Tilley Foundation,81-1244618,Not Registered,,,
7/20/2026,A Change Of Mind Inc,99-5149220,Upcoming Filing,9/30/2026,,
7/20/2026,A Childs Hope Foundation,04-3683765,Not Registered,,,
7/20/2026,A Childs Way Home International,27-4236420,Not Registered,,,
7/20/2026,A Healing Frequency,41-2968554,Upcoming Filing,12/31/2026,,
7/20/2026,A Hopeful Note Inc,92-3908837,Current,5/31/2027,,
7/20/2026,A Lifes Wish Inc — A Lifes Wish,26-3850949,Not Registered,,,
7/20/2026,A Little Love Village Inc,84-3569321,Closed,10/31/2023,,
7/20/2026,A Million Of Hopes And Dreams For Africa Foundation,85-0775355,Closed,4/30/2025,,
7/20/2026,A More Excellent Way,39-4601662,Upcoming Filing,9/30/2026,,
7/20/2026,A Most Sacred Trust,47-2230589,Upcoming Filing,11/30/2026,,
7/20/2026,A Mothers Foundation,85-4011010,Not Registered,,,
7/20/2026,A New Beginning Animal Rescue Inc,65-1310313,Not Registered,,,
7/20/2026,A New Beginning Christian Fellowship,84-5129642,Closed,1/31/2023,,
7/20/2026,A New Dawn,82-3258768,Not Registered,,,
7/20/2026,A Nuche Inc,39-4368368,Not Registered,,,
7/20/2026,A Place For Us Foundation Inc,47-5181733,Not Registered,,,
7/20/2026,A Plus Benefits Inc Employee Benefit Trust,87-0630516,Not Registered,,,
7/20/2026,A Promise Of Health,93-1320163,Not Registered,,,
7/20/2026,A Quality Life Community,27-4569054,Not Registered,,,
7/20/2026,A Room Of Ones Own,87-3409259,Not Registered,,,
7/20/2026,A Smile In Every Classroom — Jeff O Keson,87-4326610,Not Registered,,,
7/20/2026,A Soldiers Home,82-2763697,Not Registered,,,
7/20/2026,A Sure Foundation,83-3907602,Closed,8/7/2006,,
7/20/2026,A Tall Order Inc,83-3565545,Not Registered,,,
7/20/2026,A Team Scholarship,84-3102923,Not Registered,,,
7/20/2026,A Train For Youth,20-1408450,Not Registered,,,
7/20/2026,A Tree With Roots Music — Andrew Michael Murphy Mbr,47-2341779,Not Registered,,,
7/20/2026,A True Foundation,33-4315444,Current,3/31/2027,,
7/20/2026,A Village For Bob Org,88-3569848,Not Registered,,,
7/20/2026,A Voice For Good,82-3986313,Not Registered,,,
7/20/2026,A Widows Wish Foundation,45-4337233,Not Registered,,,
7/20/2026,AAA FAIR CREDIT FOUNDATION,84-1411225,Closed,,,
7/20/2026,Aaa Fair Credit Foundation,84-1411225,Closed,6/30/2023,,
7/20/2026,Aace International — Utah Chapter,46-1031110,Not Registered,,,
7/20/2026,AAML FELLOWS OF UTAH,81-4254762,Upcoming Filing,10/31/2026,,
7/20/2026,Aaml Fellows Of Utah,81-4254762,Upcoming Filing,10/31/2026,,
7/20/2026,AARHUS VILLAGE TOWNHOMES HOA,99-2292898,Current,4/30/2027,,
7/20/2026,Aarhus Village Townhomes Hoa,99-2292898,Current,4/30/2027,,
7/20/2026,Aaron A Hofmann Foundation Inc,87-0552765,Not Registered,,,
7/20/2026,"AARON A. HOFMANN FOUNDATION, INC.",87-0552765,Closed,,,
7/20/2026,AARON FAMILY FOUNDATION,26-2764635,Delinquent,6/30/2025,,
7/20/2026,AARP FOUNDATION,52-0794300,Upcoming Filing,12/31/2026,,
7/20/2026,AASHA INDIA,46-5378907,Closed,,,
7/20/2026,Aasha India,46-5378907,Closed,3/31/2025,,
7/20/2026,AAUP Foundation,80-0320933,Current,6/30/2027,,
7/20/2026,AAUW SAINT GEORGE BRANCH,46-4440807,Current,4/30/2027,,
7/20/2026,Aauw Saint George Branch,46-4440807,Current,4/30/2027,,
7/20/2026,ABANDONED CHILDREN'S FUND,20-5967513,Current,4/30/2027,,
7/20/2026,"ABBEY PUBLICATIONS, INC.",87-0436104,Closed,,,
7/20/2026,ABBY LOU FOUNDATION,47-3632619,Closed,,,
7/20/2026,Abby Lou Foundation,47-3632619,Closed,1/31/2026,,
7/20/2026,ABC & 123 FOUNDATION,48-1262758,Closed,,,
7/20/2026,ABC PRESCHOOL,92-0109547,Closed,,,
7/20/2026,ABCS FOR GLOBAL HEALTH,27-1343764,Closed,,,
7/20/2026,ABdi ABdi I BE VISIONS FOUNDATION Corp.,39-2468525,Current,6/30/2027,,
7/20/2026,ABEK COMMUNITY DEVELOPMENT PROGRAM,20-5686068,Closed,,,
7/20/2026,Abek Community Development Program,20-5686068,Closed,4/30/2021,,
7/20/2026,Abel Ogundokun Odeleye Foundation,20-2830278,Not Registered,,,
7/20/2026,ABHA,20-0432969,Closed,,,
7/20/2026,ABIDE CHRISTIAN ACADEMY,92-2244295,Closed,,,
7/20/2026,Abide Christian Academy,92-2244295,Closed,2/28/2025,,
7/20/2026,ABILITY,45-3202222,Closed,,,
7/20/2026,Ability 1 St Utah,87-0659400,Not Registered,,,
7/20/2026,ABILITY 1ST UTAH,87-0659400,Current,5/31/2027,,
7/20/2026,Ability Foundation,87-0504354,Not Registered,,,
7/20/2026,ABILITY INC.,43-2102490,Closed,,,
7/20/2026,"ABILITY, INC.",43-2102490,Closed,,,
7/20/2026,Able Assistance,41-3429584,Upcoming Filing,12/31/2026,,
7/20/2026,Able Differently,30-0635856,Delinquent,6/30/2026,,
7/20/2026,ABLE FUND,84-2087012,Closed,,,
7/20/2026,Able Innovations,87-1849829,Closed,1/31/2022,,
7/20/2026,ABLE-DIFFERENTLY,30-0635856,Delinquent,6/30/2026,,
7/20/2026,ABOUT LOVE AND LANGUAGE,84-3986273,Upcoming Filing,12/31/2026,,
7/20/2026,About Love And Language Llc — Laura Beth Blum Sole Mbr,84-3986273,Not Registered,,,
7/20/2026,ABOVE ZION RECREATION ASSOCIATION,82-2856991,Closed,,,
7/20/2026,Above Zion Recreation Association,82-2856991,Closed,9/30/2018,,
7/20/2026,Abraham Irrigation Co,87-0214004,Current,1/31/2027,,
7/20/2026,Abraham Owen Smoot Family Foundation,33-3796631,Current,2/28/2027,,
7/20/2026,Abraham Owen Smoot Family Foundation,33-3796631,Current,2/28/2027,,
7/20/2026,ABS CBN FOUNDATION INTERNATIONAL,94-3292281,Current,4/30/2027,,
7/20/2026,ABT FOUNDATION,26-2348023,Closed,,,
7/20/2026,ABUNDANCE INSTITUTE,93-2592059,Upcoming Filing,9/30/2026,,
7/20/2026,Abundance Institute,93-2592059,Upcoming Filing,9/30/2026,,
7/20/2026,ABUNDANCE WITHOUT BORDERS,88-2413845,Closed,,,
7/20/2026,ABUNDANT HARVEST,85-1891506,Closed,,,
7/20/2026,ABUNDANT LIFE ASSEMBLY OF GOD,87-0535532,Current,2/28/2027,,
7/20/2026,ABUNDANT LIFE CHRISTIAN FELLOWSHIP,59-3417796,Closed,,,
7/20/2026,ABUNDANT RESTORATION FOUNDATION,93-3045540,Delinquent,9/30/2024,,
7/20/2026,Abundant Restoration Foundation,93-3045540,Delinquent,9/30/2024,,
7/20/2026,Abuse Survivors Foundation Of Utah,56-2636324,Not Registered,,,
7/20/2026,ABUSE VICTIM FUND,87-0681969,Upcoming Filing,8/31/2026,,
7/20/2026,Abuse Victim Fund,87-0681969,Upcoming Filing,8/31/2026,,
7/20/2026,ACACIA SHADE,46-0667302,Upcoming Filing,7/31/2026,,
7/20/2026,Acacia Shade,46-0667302,Upcoming Filing,7/31/2026,,
7/20/2026,ACACIA TEC FOUNDATION,87-1147956,Closed,,,
7/20/2026,Acacia Tec Foundation,87-1147956,Closed,6/30/2025,,
7/20/2026,Academy Clinical Laboratory Physicians And Scientists,23-7088244,Not Registered,,,
7/20/2026,ACADEMY FOR CHILD ADVOCACY AND FAMILY SUPPORT,87-0537112,Current,2/28/2027,,
7/20/2026,Academy For Child Advocacy And Family Support,87-0537112,Current,2/28/2027,,
7/20/2026,ACADEMY FOR CREATING ENTERPRISE,87-0641040,Current,5/31/2027,,
7/20/2026,Academy For Creating Enterprise,87-0641040,Current,5/31/2027,,
7/20/2026,Academy For Math Engineering & Science Foundation,27-0076086,Delinquent,10/31/2024,,
7/20/2026,"ACADEMY FOR MATH, ENGINEERING & SCIENCE FOUNDATION",27-0076086,Delinquent,10/31/2024,,
7/20/2026,Academy Foundation For The Future,84-4195477,Closed,6/30/2026,,
7/20/2026,ACADEMY OF AMERICA,38-6525613,Closed,,,
7/20/2026,Academy Of Biomimetic Dentistry,45-4182107,Not Registered,,,
7/20/2026,ACADEMY OF COLLABORATION AND CONNECTION FOR ARTS AND SCIENCES,81-2614866,Closed,,,
7/20/2026,ACADEMY OF CREATIVITY,47-4777074,Closed,,,
7/20/2026,Academy Of General Dentistry — Utah Chapter,87-0420899,Not Registered,,,
7/20/2026,Academy Of Lds Dentists Inc,87-0503777,Current,1/31/2027,,
7/20/2026,"ACADEMY OF LDS DENTISTS, INCORPORATED",87-0503777,Current,1/31/2027,,
7/20/2026,ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC,27-3641289,Closed,,,
7/20/2026,ACADEMY OF MINIMALLY INVASIVE IMPLANTOLOGY,85-0820561,Closed,,,
7/20/2026,ACADEMY OF SELF-RELIANCE,83-2129778,Upcoming Filing,10/31/2026,,
7/20/2026,ACADEMY SQUARE FOUNDATION,37-1529900,Closed,,,
7/20/2026,Acc Foundation Inc,45-0500134,Not Registered,,,
7/20/2026,ACCEL CYCLING,85-4124295,Upcoming Filing,11/30/2026,,
7/20/2026,Accel Cycling,85-4124295,Upcoming Filing,11/30/2026,,
7/20/2026,ACCESS AMERICA,35-2346507,Closed,,,
7/20/2026,"ACCESS COUNSELING, INC.",27-3956519,Closed,,,
7/20/2026,Access Foundation Corp,82-4050917,Current,1/31/2027,,
7/20/2026,ACCESS FOUNDATION CORP.,82-4050917,Current,1/31/2027,,
7/20/2026,ACCESS FUND,94-3131165,Closed,,,
7/20/2026,ACCESS INC.,26-2190029,Closed,,,
7/20/2026,ACCESS INDEPENDENCE,81-4772392,Upcoming Filing,12/31/2026,,
7/20/2026,Access Independence,81-4772392,Upcoming Filing,12/31/2026,,
7/20/2026,ACCESS OPPORTUNITY,46-5399558,Closed,,,
7/20/2026,Access To Excellence,23-2131686,Closed,,,
7/20/2026,ACCESS WITHOUT BORDERS,80-0678807,Upcoming Filing,10/31/2026,,
7/20/2026,Access Without Borders,80-0678807,Upcoming Filing,10/31/2026,,
7/20/2026,"ACCESSIA HEALTH, INC.",54-1596178,Current,3/31/2027,,
7/20/2026,ACCESSIBLE HOMES FOUNDATION,72-1578479,Closed,,,
7/20/2026,ACCESSLEX INSTITUTE,23-2719985,Current,7/31/2027,,
7/20/2026,ACCION INTERNATIONAL,13-2535763,Upcoming Filing,7/31/2026,,
7/20/2026,"ACCION INTERNATIONAL, INC.",13-2535763,Closed,,,
7/20/2026,ACDI/VOCA,52-0811461,Current,5/31/2027,,
7/20/2026,"ACE BASKETBALL ACADEMY, INC.",81-1754373,Closed,,,
7/20/2026,ACE Foundation,46-3200311,Upcoming Filing,12/31/2026,,
7/20/2026,Ace Mentor Program Of America Inc — Ace Mentor Program Of Utah,47-3048594,Not Registered,,,
7/20/2026,ACE OF CLUBS SQUARE DANCE CLUB,73-0781840,Closed,,,
7/20/2026,ACE Scholarships Education Freedom Tax Credit SGO,39-5099448,Current,5/31/2027,,
7/20/2026,ACHIEVE KINDNESS,85-3732471,Closed,,,
7/20/2026,Achieve Nepal,81-0690474,Closed,11/30/2017,,
7/20/2026,ACHIEVE! NEPAL,81-0690474,Closed,,,
7/20/2026,Aclu Of Utah Foundation Inc,87-0439810,Not Registered,,,
7/20/2026,"ACME THEATRE COMPANY, INC.",87-0658130,Closed,,,
7/20/2026,ACME WATER COMPANY,87-0388275,Closed,,,
7/20/2026,Acme Water Company Inc,87-0388275,Current,6/30/2027,,
7/20/2026,"ACME WATER COMPANY, INC.",87-0388275,Current,6/30/2027,,
7/20/2026,ACMP UTAH CHAPTER,84-2588696,Upcoming Filing,7/31/2026,,
7/20/2026,Acmp Utah Chapter,84-2588696,Upcoming Filing,7/31/2026,,
7/20/2026,ACORD CORPORATION,132940919,Not Registered,,,
7/20/2026,Acorn Community,33-3998845,Current,3/31/2027,,
7/20/2026,Acorn Community,33-3998845,Current,3/31/2027,,
7/20/2026,"ACORN INSTITUTE, INC.",72-1488419,Closed,,,
7/20/2026,ACORN TRAINING PROGRAMS,46-4659135,Closed,,,
7/20/2026,Acorn Training Programs,46-4659135,Closed,12/31/2021,,
7/20/2026,ACOUSTICAL SOCIETY OF AMERICA,13-6161132,Closed,,,
7/20/2026,"ACS DEVELOPMENT COMPANY I, INC.",46-5439010,Current,5/31/2027,,
7/20/2026,"ACSI Children Education Fund, Inc.",47-4074093,Current,1/31/2027,,
7/20/2026,ACT ALUMNI ASSOCIATION,87-0552002,Closed,,,
7/20/2026,ACT FOR FREEDOM,83-2065830,Closed,,,
7/20/2026,ACT NOW COALITION,85-0613766,Closed,10/31/2023,,
7/20/2026,Act Risk No More Company,47-3384920,Not Registered,,,
7/20/2026,Actio Charities Inc,87-4240385,Closed,12/31/2022,,
7/20/2026,ACTIO CHARITIES INC.,87-4240385,Closed,,,
7/20/2026,ACTION HUMANITARIAN,46-4451229,Closed,,,
7/20/2026,Action Humanitarian,46-4451229,Closed,1/31/2015,,
7/20/2026,ACTION RECOVERY FOUNDATION,92-3166989,Closed,,,
7/20/2026,Action Recovery Foundation,92-3166989,Closed,2/28/2025,,
7/20/2026,ACTION UTAH,82-0638284,Closed,,,
7/20/2026,Action Utah,82-0638284,Closed,1/31/2021,,
7/20/2026,ACTION UTAH EDUCATION FUND,82-3978065,Closed,,,
7/20/2026,Action Utah Education Fund,82-3978065,Closed,7/31/2021,,
7/20/2026,Active Heroes Inc.,45-4138378,Current,3/31/2027,,
7/20/2026,ACTIVE K9 RESCUE FOUNDATION,45-5471007,Current,6/30/2027,,
7/20/2026,Active K9 Rescue Foundation,45-5471007,Current,6/30/2027,,
7/20/2026,"ACTIVE LEARNING FOUNDATION, INC.",87-0572592,Closed,,,
7/20/2026,"ACTIVE RE-ENTRY, INC.",87-0446885,Current,6/30/2027,,
7/20/2026,Active Reentry Inc,87-0446885,Current,6/30/2027,,
7/20/2026,Active With Autism,92-3705739,Closed,4/30/2025,,
7/20/2026,ACTIVE WITH AUTISM INC,92-3705739,Closed,,,
7/20/2026,ACTIVITIES FOR SENIORS,82-3367299,Closed,,,
7/20/2026,Activities For Seniors,82-3367299,Closed,11/30/2020,,
7/20/2026,"ACTORS' REPERTORY THEATRE ENSEMBLE, INC.",87-0476735,Closed,,,
7/20/2026,ACTS,39-3153727,Closed,,,
7/20/2026,ACTS 2:38 APOSTOLIC CHURCH,74-3181402,Closed,,,
7/20/2026,ACTS INTERNATIONAL,95-3775203,Closed,,,
7/20/2026,"ACTS MINISTRIES, INC.",87-0569716,Closed,,,
7/20/2026,ACTS OF KINDNESS FOUNDATION,92-1220055,Closed,,,
7/20/2026,Acts Of Kindness Foundation,92-1220055,Closed,12/31/2025,,
7/20/2026,Acts Six Soup Kitchen,87-0539407,Not Registered,,,
7/20/2026,Actuaries of the West,33-1928759,Current,3/31/2027,,
7/20/2026,Actuaries Of The West — Women Actuaries Of The West,33-1928759,Not Registered,,,
7/20/2026,"ACUMEN FUND, INC.",13-4166228,Not Registered,,,
7/20/2026,ACUPUNCTURE REGENERATIVE MEDICINE SOCIETY,83-3036575,Upcoming Filing,11/30/2026,,
7/20/2026,Acupuncture Regenerative Medicine Society,83-3036575,Upcoming Filing,11/30/2026,,
7/20/2026,"ADAM COLOSIMO FOUNDATION, THE",87-1979452,Upcoming Filing,8/31/2026,,
7/20/2026,Adams Gladwell Durham Foundation,81-4716154,Upcoming Filing,12/31/2026,,
7/20/2026,"ADAMS, GLADWELL, DURHAM FOUNDATION",81-4716154,Upcoming Filing,12/31/2026,,
7/20/2026,ADAPT UTAH,87-3979102,Upcoming Filing,12/31/2026,,
7/20/2026,ADAPTIVE ARENA FOUNDATION,99-0612693,Current,1/31/2027,,
7/20/2026,Adaptive Arena Foundation,99-0612693,Current,1/31/2027,,
7/20/2026,ADAPTIVE BIOENERGETIC THERAPIES RESEARCH FOUNDATION,88-3124254,Upcoming Filing,7/31/2026,,
7/20/2026,Adaptive Bioenergetic Therapies Research Foundation,88-3124254,Upcoming Filing,7/31/2026,,
7/20/2026,Adaptive Bobsled & Sports Association Inc — Abasa,27-4039576,Not Registered,,,
7/20/2026,"ADAPTIVE BOBSLED & SPORTS ASSOCIATION, INC",27-4039576,Upcoming Filing,11/30/2026,,
7/20/2026,ADAPTIVE OPERATIONS,83-4092616,Current,4/30/2027,,
7/20/2026,Adaptive Operations,83-4092616,Current,4/30/2027,,
7/20/2026,ADAPTIVE OUTDOOR ADVENTURE,42-2111470,Current,5/31/2027,,
7/20/2026,"ADAPTIVE SPORTS CENTER OF CRESTED BUTTE, INC.",84-1063447,Closed,,,
7/20/2026,ADAPTIVE TREKS,99-1101291,Current,2/28/2027,,
7/20/2026,Adaptive Treks,99-1101291,Current,2/28/2027,,
7/20/2026,ADB Family Foundation,87-3419382,Delinquent,4/30/2026,,
7/20/2026,Adb Family Foundation,87-3419382,Delinquent,4/30/2026,,
7/20/2026,ADDICT II ATHLETE,47-1364282,Upcoming Filing,7/31/2026,,
7/20/2026,Addict Ii Athlete,47-1364282,Upcoming Filing,7/31/2026,,
7/20/2026,Addiction Free Life,46-5154537,Closed,3/31/2016,,
7/20/2026,ADDICTION-FREE LIFE,46-5154537,Closed,,,
7/20/2026,ADDICTS FIGHTING BACK,84-4070112,Upcoming Filing,12/31/2026,,
7/20/2026,Addicts Fighting Back,84-4070112,Upcoming Filing,12/31/2026,,
7/20/2026,Adhiok Community Development Foundation Inc,27-2469589,Closed,2/29/2024,,
7/20/2026,"ADHIOK COMMUNITY DEVELOPMENT FOUNDATION, INC.",27-2469589,Closed,,,
7/20/2026,Admiral Beverage Employee Relief Fund,82-5229945,Current,4/30/2027,,
7/20/2026,"ADOBE ROCK, INC.",31-1703788,Closed,3/6/2010,,
7/20/2026,"ADOPT - A - CLASSROOM, INC.",65-0828272,Closed,,,
7/20/2026,ADOPT A BED,82-4952049,Current,3/31/2027,,
7/20/2026,Adopt A Bed,82-4952049,Current,3/31/2027,,
7/20/2026,Adopt A Native Elder,87-0490211,Current,10/19/2027,,
7/20/2026,"ADOPT AN ANGEL, INCORPORATED",20-0576752,Closed,,,
7/20/2026,"ADOPT HUNGER OF UTAH, INC.",87-0489370,Closed,,,
7/20/2026,ADOPT ME SOCIETY,27-4491357,Closed,,,
7/20/2026,"ADOPT-A-CLASSROOM, INC.",65-0828272,Closed,,,
7/20/2026,ADOPT-A-NATIVE ELDER,87-0490211,Upcoming Filing,11/30/2026,,
7/20/2026,ADOPTION - SHARE THE LOVE,46-5611528,Closed,,,
7/20/2026,"Adoption Rights, Inc.",42-1918890,Current,4/30/2027,,
7/20/2026,"ADOPTIONLIFE.ORG, INC.",47-2324442,Closed,,,
7/20/2026,Adrovin Foundation,82-0955224,Closed,3/31/2019,,
7/20/2026,"ADROVIN FOUNDATION, THE",82-0955224,Closed,,,
7/20/2026,"ADULT EDUCATION ASSOCIATION OF UTAH, THE",94-2811353,Upcoming Filing,11/30/2026,,
7/20/2026,"ADULTS & CHILDRENS ALLIANCE, INC.",41-1406591,Closed,,,
7/20/2026,Advance Athletics Inc,26-3235329,Upcoming Filing,12/31/2026,,
7/20/2026,"ADVANCE ATHLETICS, INC.",26-3235329,Upcoming Filing,12/31/2026,,
7/20/2026,ADVANCED CONSERVATION STRATEGIES,20-4002778,Closed,,,
7/20/2026,ADVANCED LEARNING ACADEMY,46-5521386,Closed,,,
7/20/2026,ADVANCED PROPERTIES,85-3552877,Upcoming Filing,10/31/2026,,
7/20/2026,Advanced Properties,85-3552877,Upcoming Filing,10/31/2026,,
7/20/2026,Advanced Robotics for Manufacturing Institute,81-2812384,Current,4/30/2027,,
7/20/2026,ADVANCED SHOULDER ARTHROPLASTY SEMINARS,82-3063167,Upcoming Filing,11/30/2026,,
7/20/2026,Advanced Shoulder Arthroplasty Seminars,82-3063167,Upcoming Filing,11/30/2026,,
7/20/2026,ADVANCED TRAINING FOR ENT IN AFRICA,93-4488258,Closed,,,
7/20/2026,Advanced Training For Ent In Africa,93-4488258,Closed,11/30/2025,,
7/20/2026,Advancing Democracy in Africa,39-4116864,Upcoming Filing,11/30/2026,,
7/20/2026,"ADVANCING STATES, INC.",39-6095459,Current,2/28/2027,,
7/20/2026,ADVANTAGE ARTS ACADEMY,82-0987141,Current,6/30/2027,,
7/20/2026,Advantage Arts Academy,82-0987141,Current,6/30/2027,,
7/20/2026,"ADVANTAGE CREDIT COUNSELING SERVICE, INC.",25-1201741,Current,5/31/2027,,
7/20/2026,Advantage Services Inc,87-0503440,Upcoming Filing,12/31/2026,,
7/20/2026,"ADVANTAGE SERVICES, INC.",87-0503440,Upcoming Filing,12/31/2026,,
7/20/2026,ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORPORATION,59-2170012,Upcoming Filing,10/31/2026,,
7/20/2026,ADVENTIST HEALTH SYSTEM/WEST,95-3484589,Current,4/30/2027,,
7/20/2026,"ADVENTIST RISK MANAGEMENT, INC.",52-1966740,Current,1/31/2027,,
7/20/2026,Adventure Bucket Wish Foundation,88-1582881,Upcoming Filing,9/30/2026,,
7/20/2026,ADVENTURE BUCKET WISH FOUNDATION INC.,88-1582881,Upcoming Filing,9/30/2026,,
7/20/2026,ADVENTURE BUDDIES RESCUE,88-4350028,Upcoming Filing,12/31/2026,,
7/20/2026,Adventure Buddies Rescue,88-4350028,Upcoming Filing,12/31/2026,,
7/20/2026,ADVENTURE FUND,84-5078975,Upcoming Filing,8/31/2026,,
7/20/2026,Adventure Fund,84-5078975,Upcoming Filing,8/31/2026,,
7/20/2026,ADVENTURE GIVING,26-2256582,Closed,,,
7/20/2026,ADVENTURE MAMAS INITIATIVE,82-0997001,Closed,,,
7/20/2026,Adventures Anonymous Inc,83-3805277,Closed,3/31/2024,,
7/20/2026,"ADVENTURES ANONYMOUS, INC.",83-3805277,Closed,,,
7/20/2026,ADVENTURES IN RECOVERY,92-1454022,Upcoming Filing,12/31/2026,,
7/20/2026,Adventures In Recovery — Air,92-1454022,Closed,1/31/2026,,
7/20/2026,ADVENTUREVET,82-4746996,Current,2/28/2027,,
7/20/2026,Adventurevet,82-4746996,Current,2/28/2027,,
7/20/2026,ADVOCACY 101 INC,47-5034514,Closed,,,
7/20/2026,"ADVOCACY PARTNERSHIP PROGRAMS, INC",27-4503473,Closed,,,
7/20/2026,ADVOCARE FOUNDATION,47-4090375,Current,4/30/2027,,
7/20/2026,"Advocate Aurora Health, Inc.",82-4184596,Upcoming Filing,9/30/2026,,
7/20/2026,ADVOCATE MONSTER TRUCK,47-2048620,Closed,,,
7/20/2026,ADVOCATES FOR ANIMALS,20-0805271,Closed,,,
7/20/2026,"ADVOCATES FOR HUMANITY, INC.",47-5562365,Closed,,,
7/20/2026,ADVOCATES FOR INFORMED CHOICE,27-2947576,Closed,,,
